user_id,first_name,last_name,age,gender,sexual_orientation,languages_spoken,interests_main,interests_sub,topics_to_avoid,preferred_personality,self_personality,created_at
1bd8e53a-0e44-4ada-bdbb-310928567bc8,Joséphine,Jacquot,56.0,Non-binaire,Hétérosexuel(le),Espagnol|Anglais|Autre,Jeux vidéo,FPS,Santé,Extraverti(e),Drôle,2025-10-06T15:34:44.198851
8ad54c22-56ff-4728-aa23-3b90f73f0f22,Célina,Bègue,51.0,Préfère ne pas dire,Autre,Autre|Allemand|Italien,Cuisine,Pâtisserie,,Calme,Extraverti(e),2025-04-30T15:34:44.198903
e126da09-bbd8-4497-8de5-5d2a84a85197,Henriette,Bouchet,40.0,Non-binaire,Bisexuel(le),Allemand|Espagnol,Jeux vidéo,RPG,Argent,Sérieux(se),Introverti(e),2024-12-04T15:34:44.198935
97435d6f-3ceb-4d65-b7a8-143509d40a8d,Anaïs,Chevalier,18.0,Préfère ne pas dire,Préfère ne pas dire,Français|Anglais,Podcasts,Tech,Autre|Sexe,Calme,Peu importe,2025-04-23T15:34:44.198964
ff4e2afe-f6cb-48e1-8d59-99ea1fc1cd8d,Susanne,Dumas,56.0,Préfère ne pas dire,Asexuel(le),,Musique|Lecture,Rap|BD,,Autre,Drôle,2025-05-13T15:34:44.198994
adc7e3df-7cc1-4f7f-92b6-52cc1a5b3ee9,Guillaume,Auger,29.0,Femme,Pansexuel(le),Italien|Anglais|Espagnol,Arts & culture,Cinéma,Autre|Santé,Extraverti(e),Extraverti(e),2025-04-19T15:34:44.199018
187fbb6d-a54b-449a-848b-06b2a4a10ea2,Michelle,Boucher,64.0,Non-binaire,Préfère ne pas dire,Anglais,Sciences|Lecture|Podcasts,,Santé|Sexe,Drôle,Sérieux(se),2024-11-06T15:34:44.199040
de3dad55-b814-4381-a65c-818fe1725dc9,Gérard,Roussel,34.0,Femme,Homosexuel(le),Français|Autre,Musique|Technologie|Sciences,Rap|IA|Chimie,Religion,Peu importe,Calme,2025-01-18T15:34:44.199063
0e88249e-a6da-4b25-be5e-459dc2e11b00,Brigitte,Teixeira,47.0,Non-binaire,Hétérosexuel(le),,Sport,Basketball,Politique,,Sérieux(se),2025-01-22T15:34:44.199085
ee0c3ad3-7eb4-4c58-bc51-edda4f248f82,Pierre,Gros,26.0,Homme,Asexuel(le),Italien|Anglais|Allemand,Jeux vidéo|Arts & culture|Musique,RPG|Cinéma|Classique,Santé|Argent,Sérieux(se),Autre,2025-06-28T15:34:44.199109
adf5334a-8afd-4574-b012-be174223f718,Noël,Chevallier,53.0,Préfère ne pas dire,Hétérosexuel(le),Autre,Sport|Arts & culture|Entrepreneuriat,Football|Théâtre|Startup,Sexe,,Autre,2025-01-18T15:34:44.199131
dbef56d3-0a8d-4e6a-836e-377c0a79a361,Renée,Pascal,66.0,Femme,Préfère ne pas dire,Anglais|Français,Lecture,,,,Drôle,2024-11-11T15:34:44.199153
8fc6b776-dd29-48cd-9444-fb10d4df9c43,Zacharie,Potier,67.0,Non-binaire,Homosexuel(le),Anglais,Cuisine|Sciences|Podcasts,Cuisine du monde|Chimie|Tech,,Sérieux(se),,2025-01-13T15:34:44.199174
02b2e796-23bf-4cb7-b7dc-4f1265b53041,Benjamin,Lesage,26.0,Femme,Pansexuel(le),Anglais|Italien,Sciences,,Argent,Introverti(e),,2025-05-28T15:34:44.199196
9cb27dea-c85a-4219-9de6-47fb40aa7a76,Zacharie,Merle,28.0,Homme,Homosexuel(le),Allemand,Technologie|Sport|Voyage,,,Calme,Drôle,2025-02-03T15:34:44.199220
d4d17774-6637-4375-8fa7-0b2b218f34e8,Cécile,Mace,59.0,Préfère ne pas dire,Pansexuel(le),Allemand,Photographie,Portrait,Argent,Peu importe,Introverti(e),2025-07-09T15:34:44.199241
3e9b1795-2cf3-4e44-893e-f1a6b4f5287c,Benjamin,Fischer,24.0,Homme,Pansexuel(le),,Cuisine,Cuisine du monde,Santé,Autre,Introverti(e),2025-08-15T15:34:44.199262
87de75d6-e6e0-4054-aafd-cfa193dc61e4,Dorothée,Picard,26.0,Femme,Préfère ne pas dire,Autre|Espagnol|Allemand,Technologie|Sport|Jeux vidéo,IA|Cyclisme|FPS,Sexe,Sérieux(se),Sérieux(se),2025-01-11T15:34:44.199283
376ebf04-bd23-4911-9128-e5a981f4ed09,Audrey,Lefebvre,29.0,Homme,Asexuel(le),Espagnol|Français,Lecture,,,Peu importe,Calme,2024-11-29T15:34:44.199304
27e6c0e7-3c5e-41ca-ae9b-801f83440f82,Suzanne,Cohen,61.0,Femme,Asexuel(le),Français,Jeux vidéo,FPS,,Peu importe,Calme,2025-03-15T15:34:44.199326
5de17e14-2f4f-4275-aded-d49836771ce8,Benoît,Barre,29.0,Préfère ne pas dire,Autre,Espagnol,Podcasts|Photographie|Sciences,Développement perso|Portrait|Physique,Politique|Religion,Peu importe,Extraverti(e),2024-11-13T15:34:44.199350
21c11718-9161-4e16-9d32-058596f88891,Astrid,Chartier,40.0,Non-binaire,Préfère ne pas dire,,Voyage|Musique,Road trip|Jazz,Autre,Autre,Extraverti(e),2025-05-06T15:34:44.199371
edea298c-1dce-43c6-9747-e04a9ebec6c5,Frédérique,Hubert,41.0,,Bisexuel(le),Français,Sciences|Photographie,Chimie|Portrait,Santé,Extraverti(e),Peu importe,2025-05-14T15:34:44.199392
6308b274-d9c6-4d9f-b16d-f86c2af8dad1,Geneviève,Roussel,28.0,Homme,Hétérosexuel(le),Italien|Français|Allemand,Lecture|Jeux vidéo|Arts & culture,Manga|RPG|Peinture,Santé|Sexe,Sérieux(se),Introverti(e),2025-02-04T15:34:44.199415
db331e8a-48ef-48f8-96c0-e27d5bba0885,Guillaume,Moulin,51.0,Préfère ne pas dire,Homosexuel(le),Autre|Italien,Jeux vidéo|Sciences|Photographie,Stratégie|Chimie|Paysage,Sexe,Introverti(e),Autre,2025-03-15T15:34:44.199437
3e7cd066-bd34-4eb5-b9b0-0367c53968c7,Jérôme,Lemaire,44.0,Femme,Autre,Allemand,Jeux vidéo|Sciences,Stratégie|Biologie,Santé|Autre,Peu importe,Sérieux(se),2025-06-23T15:34:44.199458
920db6ba-327a-4924-bb2c-f1eaaf03e6e7,Joséphine,Cousin,18.0,Préfère ne pas dire,Pansexuel(le),,Lecture|Photographie,BD|Paysage,Argent|Religion,Calme,Drôle,2025-08-28T15:34:44.199480
d6e269ef-11ed-4ad2-947e-ad8bac76ac32,Joséphine,Georges,19.0,,Homosexuel(le),Italien,Cuisine,Pâtisserie,Santé|Autre,Extraverti(e),,2025-08-01T15:34:44.199503
4072fc9e-0117-49f9-9be4-818f67799f0a,Valentine,Bodin,69.0,Homme,Préfère ne pas dire,Italien|Autre|Anglais,Cuisine|Entrepreneuriat,Pâtisserie|Innovation,,Sérieux(se),Calme,2025-08-05T15:34:44.199524
647706ed-c792-4110-a488-c9be423bf865,Charlotte,Pires,42.0,Femme,Bisexuel(le),,Podcasts,Tech,,Extraverti(e),,2025-10-18T15:34:44.199544
52f523cf-8f2e-4622-be98-593af3a00fbe,Noël,Petitjean,63.0,,Préfère ne pas dire,,Podcasts|Cuisine,Développement perso|Pâtisserie,,Extraverti(e),Calme,2025-02-24T15:34:44.199564
0d8fa14d-11e3-4bac-9b9d-67b926152636,Gabriel,Couturier,53.0,,Autre,Français,Podcasts|Sciences|Cuisine,Développement perso|Biologie|Pâtisserie,Sexe|Religion,,Peu importe,2025-05-02T15:34:44.199585
fd96e94d-c13d-47b0-97be-24d506b4e156,Marie,Fischer,69.0,Non-binaire,Pansexuel(le),Autre,Sport|Voyage|Arts & culture,Cyclisme|Road trip|Cinéma,,Drôle,Autre,2025-07-11T15:34:44.199605
9aa1b141-81ce-432e-8b22-43d5ccd40fe1,Nathalie,Coulon,46.0,Non-binaire,Asexuel(le),Italien,Musique|Voyage|Sciences,,Sexe,Sérieux(se),Drôle,2025-05-15T15:34:44.199626
b9082f23-7dcb-434d-9edf-a2a86f753179,Élisabeth,Martin,53.0,Préfère ne pas dire,Hétérosexuel(le),,Photographie,Portrait,Santé|Argent,Peu importe,Sérieux(se),2025-02-04T15:34:44.199646
35c03ebd-4acc-44d2-a7f1-748c85ee6699,Lucy,Lefebvre,43.0,Homme,Autre,Autre|Anglais,Sciences|Technologie,Chimie|IA,Argent|Autre,Introverti(e),Peu importe,2025-06-18T15:34:44.199667
98d767f7-c944-407c-a9d5-5d84f916c4c8,Louise,Petit,64.0,Femme,Asexuel(le),Autre|Italien|Espagnol,Cuisine,Pâtisserie,Argent,Autre,Peu importe,2025-06-11T15:34:44.199687
5da6e6e0-43e2-4c20-9384-dd5090057b30,Manon,Moreau,16.0,,Homosexuel(le),Anglais,Podcasts|Cuisine|Technologie,Développement perso|Pâtisserie|IA,,Sérieux(se),Introverti(e),2025-06-30T15:34:44.199729
3910185e-9b02-4e62-9927-eff7d83c475a,Olivier,Aubry,46.0,,Asexuel(le),Italien|Autre,Voyage|Jeux vidéo|Cuisine,Randonnée|RPG|Pâtisserie,Politique,Autre,Peu importe,2025-08-21T15:34:44.199759
c072b4ef-8ddd-4b79-a8a7-50c65561db18,Maurice,Allain,33.0,,Préfère ne pas dire,Allemand|Espagnol|Français,Musique,,Religion|Sexe,Drôle,Calme,2025-06-03T15:34:44.199787
17d3bef1-c761-4c63-a985-f5b007da80c6,Laurence,Richard,16.0,,Bisexuel(le),,Sciences|Sport,,,Extraverti(e),,2025-09-14T15:34:44.199813
d75c6146-81ec-4d2e-ab06-d9fe5ae466e8,Simone,Giraud,35.0,Non-binaire,Homosexuel(le),Allemand,Photographie|Jeux vidéo,Portrait|Stratégie,,Introverti(e),Extraverti(e),2025-05-18T15:34:44.199835
c1a6a77b-7482-49cc-a770-d1a2b7b09da6,Anaïs,Perez,56.0,Préfère ne pas dire,Bisexuel(le),Français|Anglais|Autre,Technologie,IA,Politique,Extraverti(e),,2024-11-03T15:34:44.199855
e2186cc6-a627-47e1-839f-931d58da660a,Anaïs,Lacroix,61.0,Homme,Autre,Français|Autre,Musique,Rap,Argent,Sérieux(se),Autre,2024-11-24T15:34:44.199875
53c32a8e-bb0d-4419-b53f-a93c3c79cfab,Alix,Lefebvre,26.0,Homme,Asexuel(le),,Entrepreneuriat|Cuisine,Développement web|Pâtisserie,,,,2025-09-10T15:34:44.199895
b3f4d26b-8285-453b-ada5-b4597c1b489f,Jacqueline,Benoit,32.0,Non-binaire,Hétérosexuel(le),Autre,Photographie|Sport|Musique,,Santé|Autre,,Introverti(e),2025-07-21T15:34:44.199916
a7d7d3ab-64a3-4e9a-b302-73b4d3567d1a,Jeanne,Traore,46.0,Homme,Pansexuel(le),Espagnol|Autre,Sciences,,Autre|Argent,Introverti(e),Extraverti(e),2025-01-13T15:34:44.199936
4954c775-751f-4318-a25c-1d194a097dc1,Inès,Rossi,45.0,Femme,Hétérosexuel(le),Allemand,Photographie|Cuisine,Paysage|Cuisine du monde,Sexe,Calme,Introverti(e),2025-03-11T15:34:44.199958
20c54330-3255-433c-a330-6af1c4a8415c,Corinne,Robert,67.0,Préfère ne pas dire,Autre,Espagnol,Sport|Technologie|Podcasts,Football|IA|Développement perso,Politique|Autre,Calme,,2025-05-25T15:34:44.199979
7aae5638-d9c7-4441-97fc-4a3dc947f7c3,Lucie,Marin,31.0,Femme,Asexuel(le),Italien,Photographie,Portrait,Sexe,Extraverti(e),Peu importe,2025-02-04T15:34:44.199999
bb1744d7-916f-4c8b-9afb-7207a6d97959,Isabelle,Lebon,53.0,Femme,Préfère ne pas dire,Italien,Cuisine|Voyage|Lecture,Pâtisserie|Randonnée|Manga,Autre,Autre,Extraverti(e),2025-06-24T15:34:44.200021
