user_id,first_name,last_name,travel_reason,expectations_from_neighbor,interests_main,interests_sub,conversation_trigger,preferred_personality,self_personality,topics_to_avoid,languages_spoken,openness_score,age,gender,sexual_orientation,created_at
3dd9b9bc-d843-403e-90de-dd1a4f248206,Guy,Pons,Travail/études,Discussion sympa,Sport|Entrepreneuriat|Sciences,Sport:Rugby|Entrepreneuriat:Création|Sciences:Biologie,Ça dépend,Drôle,Introverti(e),Politique,Anglais,5,54,Femme,Préfère ne pas dire,2025-06-21T13:00:09.425636
92a47a14-0236-43d2-b55d-a36104c1d636,Noël,Dupuy,Autre,Rester tranquille,Arts & culture|Sport,Arts & culture:Cinéma|Sport:Rugby,Jamais,Sérieux(se),Sérieux(se),Religion,Français|Autre,4,22,Non-binaire,Bi,2024-11-25T13:00:09.425736
adfe262c-df63-4797-b5f5-84d4638e6845,Christiane,Vaillant,Travail/études,Réseautage pro,Musique|Voyage|Podcasts,Musique:Jazz/Blues|Voyage:Nature|Podcasts:Culture,Le trajet est long,Calme,Extraverti(e),Politique,Anglais|Espagnol|Français,2,22,Préfère ne pas dire,Bi,2025-02-10T13:00:09.425798
11058f20-68be-4b66-b40b-66295b395810,Georges,Pinto,Visite famille/amis,Rester tranquille,Cuisine|Entrepreneuriat,Cuisine:Végétarien/vegan|Entrepreneuriat:Création,Ça dépend,Autre,Extraverti(e),Religion,Allemand|Espagnol,5,30,Non-binaire,Hétéro,2025-06-05T13:00:09.425863
afaf24b5-578f-462c-881a-2723a6930038,Camille,Lecoq,Visite famille/amis,Réseautage pro,Musique|Entrepreneuriat,Musique:Jazz/Blues|Entrepreneuriat:Marketing,La conversation est légère,Autre,Drôle,Vie privée|Religion,Anglais|Autre,5,50,Non-binaire,Préfère ne pas dire,2025-02-23T13:00:09.425922
0d6ec72c-f72a-47d7-9194-362074af1679,Margot,Lacroix,Autre,Échanger sur un sujet commun,Technologie,Technologie:Innovation,Jamais,Introverti(e),Peu importe,Politique,Autre,2,66,Préfère ne pas dire,Préfère ne pas dire,2025-08-29T13:00:09.425968
8118f8e9-6b94-45fd-8b5e-4d7333c9b9f1,Émile,Labbé,Autre,Autre,Photographie|Lecture,Photographie:Portrait|Lecture:Développement personnel,Le trajet est long,Introverti(e),Sérieux(se),Religion|Vie privée,Autre,3,48,Homme,Préfère ne pas dire,2025-08-07T13:00:09.426023
4367e309-b971-4993-b745-1bd36b85ea1a,Guy,Pinto,Visite famille/amis,Autre,Entrepreneuriat|Technologie|Cuisine,Entrepreneuriat:Investissement|Technologie:Innovation|Cuisine:Gastronomie FR,Ça dépend,Sérieux(se),Drôle,Politique,Espagnol|Anglais,1,31,Femme,Hétéro,2025-01-25T13:00:09.426086
2164f3a7-33cd-4164-8938-5fa80df8fe66,Antoinette,Marques,Loisirs/vacances,Rester tranquille,Jeux vidéo|Photographie|Technologie,Jeux vidéo:RPG|Photographie:Édition|Technologie:IA,Ça dépend,Peu importe,Autre,Actualité sensible,Autre|Espagnol,4,49,Préfère ne pas dire,Hétéro,2025-05-27T13:00:09.426143
d35a5ce8-49b5-42d5-8d33-fcb348aeb0e9,Danielle,Brun,Visite famille/amis,Discussion sympa,Photographie|Entrepreneuriat|Arts & culture,Photographie:Paysage|Entrepreneuriat:Création|Arts & culture:Cinéma,Il/elle partage mes centres d’intérêt,Extraverti(e),Introverti(e),Actualité sensible,Italien,2,33,Préfère ne pas dire,Homo,2024-12-28T13:00:09.426191
